,formula_label,symbol_set,subject
859,Hahn polynomials,"{F, N, Q, x, α, β, n}",Fields of mathematics
860,Hall algebra,"{g, q, λ, μ, ν, Z}",Fields of mathematics
861,Hall effect,"{q, F, B, E, v}",Subfields of physics
862,Halting problem,"{X, R}",Fields of mathematics
863,Hamiltonian,"{a, x, m, f}",Science disambiguation pages
864,Hamiltonian matrix,"{A, p, n, P, x}",Fields of mathematics
865,Hamilton–Jacobi equation,"{Y, X, Z, n}",Physical sciences
866,Hammer projection,"{a, e, φ, l, λ, x}",Political science theories
867,Hamming scheme,"{x, e, O, g, V}",Fields of mathematics
868,Hardy's inequality,"{a, p, n, ∞}",Fields of mathematics
869,Hardy–Littlewood circle method,"{a, n, z, f}",Fields of mathematics
870,Harish-Chandra's c-function,"{s, λ, c}",Fields of mathematics
871,Harmonic coordinate condition,"{γ, g, σ, x, α, β, Γ}",Life sciences
872,Harmonious set,"{u, v}",Life sciences
873,Hartmann number,"{a, B, H, σ, L, μ}",Subfields of physics
874,Hasegawa–Mima equation,"{y, P, t, x, ∀}",Life sciences
875,Hasse's theorem on elliptic curves,"{q, N}",Fields of mathematics
876,Hasse–Weil zeta function,"{Q, s, Z, V}",Fields of mathematics
877,Hat operator,"{y, H}",Life sciences
878,Hauptvermutung,"{H, κ, Z, M}",Fields of mathematics
879,Hausdorff density,"{a, B, Θ, s, r, μ}",Fields of mathematics
880,Hausdorff moment problem,"{m, n, μ, d, x}",Society
881,Hausner ratio,"{H, B, T, ρ}",Pharmaceutical sciences
882,Hawking radiation,"{H, M, T, π}",Stephen Hawking
883,Hayashi track,"{j, σ, T}",Subfields of physics
884,Heaps' law,"{n, β, R, K, V}",Life sciences
885,Heat generation in integrated circuits,"{C, g, ∂, ∇, t, κ, ρ, T}",Subfields of physics
886,Heat index,"{I, H, c, R, T}",Branches of thermodynamics
887,Heat kernel signature,"{Ψ, E, ℏ, m, ∇, r, V}",Fields of mathematics
888,Heat-affected zone,"{c, E, f, I, n, Q, i, S, V, y, e}",Environmental studies
889,Heath–Jarrow–Morton framework,"{e, d, f, P, s, t, T}",Fields of mathematics
890,Heaviside cover-up method,"{a, A, C, B, m, c, n, b, ℓ, x}",Fields of mathematics
891,Heavy Rydberg system,"{μ, m}",Subfields of physics
892,Heavy traffic approximation,"{X, E, t, n}",Applied sciences
893,Heegaard splitting,"{f, M, W, V}",Fields of mathematics
894,Heilbronn triangle problem,"{c, f, Δ, n}",Fields of mathematics
895,Heine–Borel theorem,"{K, C, U, T}",Fields of mathematics
896,Heinz mean,"{A, H, B, x}",Fields of mathematics
897,Helicity,"{p, r, L}",
898,Helly–Bray theorem,"{d, g, F, n, R, ∞, x}",Fields of mathematics
899,Helmholtz decomposition,"{A, Φ, ∇, F}",Hermann von Helmholtz
900,Helmholtz equation,"{A, k, ∇}",Fields of mathematics
901,Helmholtz free energy,"{A, S, U, T}",Hermann von Helmholtz
902,Helmholtz's theorems,"{A, c, d, ω, n, s, u, Γ}",Hermann von Helmholtz
903,Herbrand–Ribet theorem,"{a, ω, σ, n, p, ϵ}",Cyclotomic fields
904,Hereditarily finite set,"{k, ∞, ω, V}",Fields of mathematics
905,Herglotz–Zagier function,"{′, log, F, n, ∞, x, Γ}",Fields of mathematics
906,Hermite's cotangent identity,"{a, A, cot, k, j, n}",Fields of mathematics
907,Hermite's identity,"{x, k, n}",Life sciences
908,Hermite–Minkowski theorem,"{K, π, d, n}",Fields of mathematics
909,Hermitian matrix,{A},Fields of mathematics
910,Heron's formula,"{A, a, c, b}",Fields of mathematics
911,Heron's method,"{a, x, n}",
912,Herschel–Bulkley fluid,"{γ, τ, k, n}",Life sciences
913,Hesse normal form,"{d, H, n, R, v, x}",Fields of mathematics
914,Hessenberg matrix,"{h, n}",Fields of mathematics
915,Hessian form of an elliptic curve,"{Y, X, a}",Fields of mathematics
916,Heston model,"{x, p}",Fields of mathematics
917,Heterodyne detection,"{cos, E, ω, g, i, φ, s, t}",Applied sciences
918,Hick's law,"{n, b, log, T}",Experimental social sciences
919,Hicks-neutral technical change,"{A, Y, K, L, F}",Professional studies
920,Hierarchical generalized linear model,"{Q, S, r, d, T}",Applied sciences
921,Hierarchical network model,"{P, k, γ, c}",Physical sciences
922,High energy nuclear physics,"{p, γ, T}",Subfields of physics
923,High-frequency ventilation,"{I, p, Δ, E, P}",Life sciences
924,High-valent iron,"{e, F, I, h, L, O, n, P}",Subfields of physics
925,Highly abundant number,"{σ, m, n}",Fields of mathematics
926,Highly structured ring spectrum,"{Ω, X}",Fields of mathematics
927,Hilbert's Nullstellensatz,{J},Fields of mathematics
928,Hilbert's irreducibility theorem,"{f, n, s, r, Y, X}",Political science theories
929,Hilbert's seventh problem,{Q},Political science theories
930,Hilbert's theorem,"{ψ, φ, p, S, R, exp}",
931,Hilbert–Burch theorem,"{I, R, m, n}",Fields of mathematics
932,Hilbert–Schmidt integral operator,"{Ω, d, k, ∞, y, x}",Fields of mathematics
933,Hilbert–Schmidt theorem,"{i, λ, ∞}",Fields of mathematics
934,Hill differential equation,"{y, d, t, f}",Fields of mathematics
935,Himmelblau's function,"{y, x, f}",Life sciences
936,Hirzebruch surface,"{O, n}",Fields of mathematics
937,Histogram equalization,"{i, p, x, L, n}",Applied sciences
938,History of general relativity,"{R, μ, ν, T}",
939,History of quaternions,"{i, k, j}",Fields of mathematics
940,Hit-or-miss transform,"{A, C, c, B, D}",Applied sciences
941,Hitchin–Thorpe inequality,"{χ, τ, M}",Fields of mathematics
942,Hoeffding's inequality,"{P, i, H, k, n, p}",Fields of mathematics
943,Hollomon–Jaffe parameter,"{C, log, H, p, T, t}",Life sciences
944,Holonomy,"{E, G, Hol, L, ∇, P, x, γ}",Fields of mathematics
945,Holor,"{i, x, ∂, σ, v}",Fields of mathematics
946,Holt graph,{x},Fields of mathematics
947,Homogeneous differential equation,"{d, F, M, N, y, x}",Fields of mathematics
948,Homological integration,"{α, T}",Physical sciences
949,Homothetic center,"{y, x, r}",Life sciences
950,Hong–Ou–Mandel effect,"{a, b}",Applied sciences
951,Hooke's atom,"{H, k, r, ∇}",Subfields of physics
952,Hooke's law,"{X, k, F}",Physical sciences
953,Hoover index,"{B, E, π}",Fields of mathematics
954,Hopkinson's law,"{Θ, R, m, Φ}",
955,Hotelling's rule,"{P, δ, t}",Applied sciences
956,Hough transform,"{cos, θ, r, y, x, sin}",Applied sciences
957,Householder's method,"{a, e, d, f, K, m, o, n, s, r, x}",Fields of mathematics
958,How Long Is the Coast of Britain? Statistical Self-Similarity and Fractional Dimension,"{M, L, G, D}",Categories by parameter
959,Hubbert linearization,"{d, K, Q, P, R, U, t}",Society
960,Hubble–Reynolds law,"{I, H, R}",Subfields of physics
961,Humbert polynomials,"{a, e, n, t, exp, x, β}",Fields of mathematics
962,Hume-Rothery rules,"{e, l, o, n, s, r, u, t, v, %}",Physical sciences
963,Hurwitz polynomial,{x},Fields of mathematics
964,Hydrodynamical helicity,"{H, u, d, ∇, V}",Physical sciences
965,Hydrogel encapsulation of quantum dots,"{λ, D}",Subfields of physics
966,Hydrostatic stress,"{g, i, h, σ, ρ, n}",Physical sciences
967,Hyperbolic growth,"{x, c, t}",Life sciences
968,Hyperbolic quaternion,"{a, c, b, d, i, k, j, q, R}",Fields of mathematics
969,Hyperbolic set,"{E, M, s, Λ, u, T}",Fields of mathematics
970,Hyperdeterminant,"{a, c, b, f}",Fields of mathematics
971,Hypoexponential distribution,"{μ, B, Δ, H}",Life sciences
972,Hölder's inequality,"{q, p, g, f}",Fields of mathematics
973,IP (complexity),"{P, L, w, V}",Life sciences
974,Ideal chain,"{b, e, f, i, h, m, l, o, n, s, r, u, t, w, N, L}",Subfields of physics
975,Idealized greenhouse model,"{τ, b, g, f}",Subfields of physics
976,Idealizer,"{I, S, s, T}",Fields of mathematics
977,Idempotent measure,"{A, d, μ, ν, X, x}",Fields of mathematics
978,Image moment,"{d, f, M, q, p, ∞, y, x}",Applied sciences
979,Imaging spectroscopy,"{A, x, p}",Subfields of physics
980,Immersed boundary method,"{k, M, n}",Fields of mathematics
981,Impact parameter,"{b, d, i, ∞, m, π, θ, r, U, v, n}",Physical sciences
982,Implicational propositional calculus,"{p, log, ϑ, x}",Life sciences
983,Implicit curve,"{y, x, F}",Applied sciences
984,Incidence structure,"{I, p, B}",Fields of mathematics
985,Indeterminate,"{x, g, f}",
986,Indeterminate form,"{x, c, g, f}",Fields of mathematics
987,Index of dispersion,"{μ, σ, D}",Branches of philosophy
988,Inertance,"{A, I, ρ, ℓ}",Environmental studies
989,Information gain in decision trees,"{a, G, I, H, l, s, T, v, x}",Applied sciences
990,Information theory and measure theory,"{d, f, h, R, X, x, log}",Formal sciences
991,Inhomogeneous electromagnetic wave equation,"{c, μ, ε}",Subfields of physics
992,Initial condition,"{a, x, k, t}",Fields of mathematics
993,Inner model,{L},Fields of mathematics
994,Instrumental magnitude,"{m, log, f}",Physical sciences
995,Integer programming,"{A, g, i, σ, n, ln, μ, exp}",Fields of mathematics
996,Integrating ADC,"{a, C, i, l, o, n, R, u, t, V}",Subfields of physics
997,Integration along fibers,"{b, k, m, π, w, α, β}",Fields of mathematics
998,Integration by reduction formulae,"{I, x, n, f}",Physical sciences
999,Intermediate Jacobian,"{H, C, R, M, n}",Fields of mathematics
1000,Intrinsic value,"{e, f, I, h, m, o, n, u, t, V, y}",
1001,Introduction to entropy,"{q, S, δ, T}",Fields of mathematics
1002,Invariance mechanics,"{x, R}",Subfields of physics
1003,Inverse gas chromatography,"{F, j, m, o, R, t, V, T}",Life sciences
1004,Inverse-gamma distribution,"{d, ψ, ∂, m, S, x}",Auxiliary sciences of history
1005,Ising model,"{j, i, h, J, σ, μ, H}",Fields of mathematics
1006,Iso-damping,"{c, G, ω, ∠, j, s, d}",Applied sciences
1007,Isotypic component,"{i, N, V}",Fields of mathematics
1008,Isserlis' theorem,"{A, C, B}",Fields of mathematics
1009,Itō isometry,"{E, d, t, W, X, T}",
1010,J-homomorphism,"{J, O, π, q, S, r}",Fields of mathematics
1011,J1 J2 model,"{i, H, S, J, j}",Subfields of physics
1012,Jackson network,"{j, i, J, p, λ, α}",Applied sciences
1013,Jackson q-Bessel function,"{J, q, ν, ∞, x, ϕ}",Fields of mathematics
1014,Jacobi elliptic functions,"{d, φ, m, θ, u, sin}",Fields of mathematics
1015,Jacobi identity,"{a, ∀, S, b, c}",Fields of mathematics
1016,Jacobi triple product,"{i, π, R, Σ, N}",Fields of mathematics
1017,Jacobian conjecture,{b},Fields of mathematics
1018,Jacobian ideal,"{x, J, ∂, f, n}",Fields of mathematics
1019,Jacobian matrix,"{J, f, m, ∂, M, n, x}",
1020,Jacobsthal number,"{J, n}",Fields of mathematics
1021,Janko group J1,"{y, x, z, d}",Fields of mathematics
1022,Jefimenko's equations,"{c, B, E, d, J, ρ, π, r, μ, t, ∂, ϵ}",Fields of mathematics
1023,Jensen's inequality,"{x, t, f}",Fields of mathematics
1024,Jet group,"{k, R, m, S, W}",Fields of mathematics
1025,Jiles-Atherton model,"{α, M, H}",Subfields of physics
1026,Johnson SU distribution,"{z, sinh, λ, ξ, x, γ, δ}",
1027,Joint quantum entropy,"{A, B, log, Tr, ρ, S}",Formal sciences
1028,Joint spectral radius,"{Y, X, B, L, W}",Applied sciences
1029,Jordan curve theorem,"{H, k, n, q, Y, Z}",Life sciences
1030,Jordan's lemma,"{C, e, i, π, θ, R}",Life sciences
1031,Jurin's law,"{cos, g, h, ρ, θ, r, γ}",Physical sciences
1032,Just-noticeable difference,"{I, k, Δ}",Life sciences
1033,Jørgensen's inequality,"{A, B}",Fields of mathematics
1034,K-convex function,"{K, b, u, z, g}",Fields of mathematics
1035,K-function,"{Γ, d, ln, K, π, t, exp, z}",Fields of mathematics
1036,Kalai–Smorodinsky bargaining solution,"{B, e, d, F, s, μ, t}",Cross-cultural studies
1037,Kalman–Yakubovich–Popov lemma,"{A, P, Q, T}",Life sciences
1038,Kamal,"{s, S, d, D}",
1039,Kaplansky density theorem,"{a, α, f}",Fields of mathematics
1040,Kaplan–Yorke conjecture,"{i, λ, j}",Fields of mathematics
1041,Karhunen–Loève theorem,"{e, k, t, ∞, X, Z}",Fields of mathematics
1042,Karmarkar's algorithm,"{n, L, O, log}",Fields of mathematics
1043,KeeLoq,"{a, c, b, e, d, F}",
1044,Kepler orbit,"{θ, a, cos, r, e}",Johannes Kepler
1045,Kernel,"{X, x, w, f}",
1046,Key encapsulation,"{m, c, mod, e, n}",Sociological theories
1047,Khinchin integral,"{a, d, g, f, t, x}",Physical sciences
1048,Khmaladze transformation,"{x, F, n, v}",Fields of mathematics
1049,Killing spinor,"{X, λ, ∇, ψ}",Fields of mathematics
1050,Kinetic Monte Carlo,"{′, d, ln, k, Q, u, t, Δ}",Subfields of physics
1051,Kirchhoff's diffraction formula,"{e, d, i, k, ∂, s, n, P, S, U, π}",Branches of biology
1052,Kirwan map,"{H, M, G, p}",Fields of mathematics
1053,Klecka's tau,"{c, i, τ, o, n, p, r, T, N}",Auxiliary sciences of history
1054,Klein cubic threefold,"{Y, X, Z, W, V}",Fields of mathematics
1055,Klein quartic,"{y, x, z}",Fields of mathematics
1056,Klein–Gordon equation,"{c, ψ, ℏ, ∂, m, ∇, t}",Life sciences
1057,Kobayashi metric,"{y, x, d, ρ, f}",Fields of mathematics
1058,Koide formula,"{Q, e, τ, μ, m}",Life sciences
1059,Kolchuga passive sensor,"{d, h, k, m, r, t}",Professional studies
1060,Kolmogorov structure function,"{log, h, K, S, x, α}",Formal sciences
1061,Koopman–von Neumann classical mechanics,"{i, ∂, L, ρ, p, t, x}",Articles containing video clips
1062,Korringa–Kohn–Rostoker approximation,"{c, E, m, k, M, l}",
1063,Kosmann lift,"{q, E, i, τ, Q, T, v}",Fields of mathematics
1064,Koszul algebra,"{i, R, k, b}",Fields of mathematics
1065,Koszul duality,"{A, R, T, V}",Fields of mathematics
1066,Kronecker limit formula,"{E, log, τ, O, π, s, y, γ, η}",Fields of mathematics
1067,Kronecker's lemma,"{x, s, m, ∞}",Life sciences
1068,Krylov–Bogolyubov theorem,"{A, μ, F}",Fields of mathematics
1069,Kullback–Leibler divergence,"{log, i, K, L, Q, P, D}",Fields of mathematics
1070,Kuratowski embedding,"{X, C, b, Φ}",Fields of mathematics
1071,Kynea number,{n},Fields of mathematics
1072,L-infinity,"{x, C, f, ∞}",Fields of mathematics
1073,L-notation,"{c, e, ln, L, o, n, α}",Fields of mathematics
1074,L-reduction,"{A, B, f, O, P, T, α, x}",Applied sciences
1075,LPBoost,"{c, f, k, n, r, z}",Applied sciences
1076,LSZ reduction formula,"{f, i, o, n, q, p, S, u, t}",Subfields of physics
1077,LU decomposition,"{A, U, L}",Fields of mathematics
1078,Lagged Fibonacci generator,"{a, b, i, k, m, X, mod}",Fields of mathematics
1079,Lagrange multiplier,"{g, f, L, ∇, λ, y, x}",Fields of mathematics
1080,Lagrange's theorem,"{H, G}",
1081,Lagrangian and Eulerian specification of the flow field,"{x, u, t}",Professional studies
1082,Laguerre form,"{a, D, w, L}",Fields of mathematics
1083,Lahun Mathematical Papyri,"{h, d, V}",Political science theories
1084,Lamb waves,"{A, e, ω, f, i, k, t, ξ, x, z}",Political science theories
1085,Lamplighter group,"{Z, ∞}",Fields of mathematics
1086,Lanczos approximation,"{A, Γ, e, g, π, z}",Articles with example code
1087,Landau pole,"{ln, β, Λ, m, g}",Subfields of physics
1088,Landau prime ideal theorem,"{X, r, ′}",Fields of mathematics
1089,Landau theory,"{a, Ψ, F, H, s, r}",Subfields of physics
1090,Landau–Lifshitz–Gilbert equation,"{α, s, γ, M, λ}",Life sciences
1091,Landé g-factor,"{S, J, L, g}",Subfields of physics
1092,Langer correction,"{E, d, ℏ, m, r, V, R}",Subfields of physics
1093,Langevin dynamics,"{B, k, M, ∇, R, U, t, X, γ, T}",Physical sciences
1094,Laplace formula,"{b, P, r, t, α, Δ}",Physical sciences
1095,Laplace number,"{a, σ, L, ρ, S, μ, u}",Life sciences
1096,Laplace operator,{∇},Fields of mathematics
1097,Laplace operators in differential geometry,"{Δ, T, ∇}",Fields of mathematics
1098,Laplace principle,"{A, e, d, φ, ∞, x}",
1099,Laplace transform,"{e, d, F, f, s, t, ∞}",Fields of mathematics
1100,Laplace–Beltrami operator,"{∇, f}",Fields of mathematics
1101,Laplacian matrix,"{d, H, s, u, v, y, x}",Fields of mathematics
1102,Laplacian of the indicator,"{a, o, E, f, i, ∂, ρ, n, q, S, R, u, t, ∇, e, ϕ, Γ, grad}",Fields of mathematics
1103,Lapse Function,"{L, g, N}",
1104,Large deviations theory,"{i, X, M, N}",Fields of mathematics
1105,Latent class model,"{i, p, j, t, T}",Applied sciences
1106,Latin square,"{k, L, n}",Applied sciences
1107,Laughlin wavefunction,"{y, x, d, a, t}",Subfields of physics
1108,Laurent polynomial,"{X, k, p, F}",Fields of mathematics
1109,Laurent series,"{a, c, f, n, ∞, z}",Fields of mathematics
1110,Law of demand,"{Q, P, ′, x, f}",Applied sciences
1111,Law of total cumulance,"{B, i, π, κ, Y, X, n}",Fields of mathematics
1112,Lax–Friedrichs method,"{a, x, u, t}",Fields of mathematics
1113,Lead–lag compensator,"{Y, X, s, z, p}",Applied sciences
1114,Least-squares spectral analysis,"{x, ϕ}",Applied sciences
1115,Lebesgue integration,"{d, x, μ, t, f}",Physical sciences
1116,Lee distance,"{i, q, x, y, n}",Fields of mathematics
1117,Left quotient,"{x, ∃, L, w, ∖}",Fields of mathematics
1118,Legendre symbol,"{a, p, mod}",Fields of mathematics
1119,Legendre's theorem,"{a, c, b, y, x, z}",
1120,Legendre–Clebsch condition,"{a, b, d, L, t, x}",Fields of mathematics
1121,Lehmer matrix,"{i, A, j}",Fields of mathematics
1122,Lehmer random number generator,"{X, k, g, n}",Fields of mathematics
1123,Leibniz formula for determinants,"{a, A, i, σ, n, S, sgn}",Life sciences
1124,Leibniz formula for π,"{∞, n, π}",Life sciences
1125,Lemaître coordinates,"{d, g, θ, s, r, t, ϕ, sin}",Life sciences
1126,Lemaître–Tolman metric,"{Ω, E, d, s, R, t, r}",Life sciences
1127,Lemoine point,"{A, a, C, B, c, b, sin}",Fields of mathematics
1128,Lens clock,"{s, ϕ, D, n}",Life sciences
1129,Leonardo number,"{L, n}",Fields of mathematics
1130,Leray projection,"{u, Δ, ∇, P}",Fields of mathematics
1131,Leray's theorem,"{q, X, U, H, F}",Fields of mathematics
1132,Leslie matrix,"{A, G, n}",Fields of mathematics
1133,Levi-Civita connection,"{R, M, n}",Fields of mathematics
1134,Levinson recursion,"{y, x, M}",Fields of mathematics
1135,Lidstone series,"{A, C, f, k, π, N, n, ∞, z, sin}",Fields of mathematics
1136,Lie algebra representation,"{g, l, ρ, V}",Fields of mathematics
1137,Lieb's square ice constant,"{n, ∞, f}",Fields of mathematics
1138,Lieb–Liniger model,"{s, r, ℓ}",Auxiliary sciences of history
1139,Light cone coordinates,"{d, i, j, s, t, x, δ}",
1140,Light scattering by particles,"{x, r, λ, π}",Subfields of physics
1141,Likelihood ratios in diagnostic testing,"{R, L}",Auxiliary sciences of history
1142,Limit cardinal,"{ℵ, ℶ}",Life sciences
1143,Limit comparison test,"{a, c, b, ε, n}",Fields of mathematics
1144,Lindström quantifier,"{A, x, ϕ, a}",Branches of philosophy
1145,Linear canonical transformation,"{A, α, S, U, V}",Applied sciences
1146,Linear classifier,"{y, x, j, w, f}",Applied sciences
1147,Linear matrix inequality,"{y, LMI, A, m}",Life sciences
1148,Linear network coding,"{g, i, k, M, S, X}",Fields of mathematics
1149,Linear probability model,"{Y, x, β, X}",Applied sciences
1150,Linear-quadratic regulator,"{A, x, B, u}",Applied sciences
1151,Linearity of differentiation,"{x, β, f, g, α}",Fields of mathematics
1152,Linearized gravity,"{h, g, η}",Fields of mathematics
1153,Lineweaver–Burk plot,"{K, m, S, V}",Physical sciences
1154,Link budget,"{x, u, Δ, t}",Society
1155,Liouville's theorem,"{a, c, D, n, u, v}",
1156,Liouville–Neumann series,"{x, ϕ, n, λ, ∞}",Fields of mathematics
1157,Lipophilic efficiency,"{C, I, g, p, i, L, o, P, E}",Pharmaceutical sciences
1158,Lippmann Schwinger equation,"{E, ψ, i, H, V, ϕ, ϵ}",
1159,Lipschitz domain,"{B, n, p, r, x, R}",Fields of mathematics
1160,Lissajous knot,"{cos, n, t, y, x, ϕ, z}",Fields of mathematics
1161,List of integrals of logarithmic functions,"{a, ln, x, log, d}",Physical sciences
1162,Littlewood conjecture,"{α, β, n, ∞}",Life sciences
1163,Littlewood's 4/3 inequality,"{i, B, j, e, ∞}",Fields of mathematics
1164,Liu Hui's π algorithm,"{A, D, N}",Categories by parameter
1165,Live variable analysis,"{y, x, N}",Life sciences
1166,Liénard equation,"{x, t, d, g, f}",Fields of mathematics
1167,Loading dose,"{C, d, F, p, S, V}",Pharmaceutical sciences
1168,Local boundedness,"{x, M, f}",Fields of mathematics
1169,Local field,"{a, X, μ}",Fields of mathematics
1170,Local martingale,"{X, k, τ, t}",Applied sciences
1171,Local volatility,"{d, σ, S, r, t, W}",Professional studies
1172,Locally compact quantum group,"{I, y, C, z, ℑ}",Fields of mathematics
1173,Lockhart–Martinelli parameter,"{I, y, J, d, x}",Life sciences
1174,Log amplifier,"{ln, K, V}",Applied sciences
1175,Log area ratio,"{A, k, r, log}",Applied sciences
1176,Logarithmic Loss,"{log, g, i, l, o, N, p, s, y}",
1177,Logarithmic convolution,"{a, d, l, s, r, t, ∞}",Fields of mathematics
1178,Logarithmically concave measure,"{A, λ, B, μ}",Fields of mathematics
1179,London equations,"{j, e, ∂, m, ∇, n, s, B, t, E}",Life sciences
1180,London penetration depth,"{m, L, n, q, λ, μ}",Subfields of physics
1181,Long-tail traffic,"{α, k, ρ}",Applied sciences
1182,Longest common subsequence problem,"{i, O, n}",Life sciences
1183,Loomis–Whitney inequality,"{R, j, d, π}",Fields of mathematics
1184,Loop algebra,"{C, S, g, ∞}",Fields of mathematics
1185,Loop quantum gravity,"{y, ∀, z, x}",Subfields of physics
1186,Loop representation in gauge theories and quantum gravity,"{i, k, j, T, f}",Gauge theories
1187,Loop theorem,"{∂, M, D, f}",Fields of mathematics
1188,Loop-erased random walk,{i},Applied sciences
1189,Lorden's inequality,"{X, R, b, E}",Fields of mathematics
1190,Lorentz force,"{q, B, v, E, F}",Physical sciences
1191,Lorentz–Lorenz equation,"{α, N, n, π}",Subfields of physics
1192,Lorenz gauge condition,"{A, ∂, μ}",Physical sciences
1193,Lottery mathematics,"{k, n}",Fields of mathematics
1194,Low Exercise Price Option,"{e, D, L, n, S, r, y, X}",Professional studies
1195,Low level injection,"{Δ, n}",Subfields of physics
1196,Low-discrepancy sequence,"{d, f, i, N, u, x}",Life sciences
1197,Low-energy electron microscopy,"{B, f, k, ∇, s, T, x}",Subfields of physics
1198,Lower convex envelope,"{t, E, d, ∞}",Fields of mathematics
1199,Lower hybrid oscillation,"{i, p, e, ω, Ω}",Subfields of physics
1200,Lucas primality test,"{a, mod, n}",Applied sciences
1201,Lucas pseudoprime#Fibonacci pseudoprimes,"{δ, D, n}",
1202,Lucas sequence,"{Q, P, n, U, V}",Fields of mathematics
1203,Lucas–Kanade method,"{I, q, t, V, y, x}",Applied sciences
1204,Luce's choice axiom,"{i, P, j, w}",Life sciences
1205,Luminosity,"{D, G, g, s, α, β}",Subfields of physics
1206,Lusin's theorem,"{a, C, b, f}",Fields of mathematics
1207,Luttinger's theorem,"{D, ω, k, π, G, p, n, d}",Subfields of physics
1208,Lyapunov–Schmidt reduction,"{x, λ, f}",Fields of mathematics
1209,Lyman series,"{h, R, c, λ, n}",Subfields of physics
1210,Lévy arcsine law,"{cos, i, k, j, θ, r, sin}",Paul Lévy (mathematician)
1211,Lévy's continuity theorem,"{e, i, φ, n, R, t, ∀, X, N, E}",Fields of mathematics
1212,Löb's theorem,"{A, #, B, e, f, i, h, n, P, t, w}",Branches of philosophy
1213,Löwenheim–Skolem theorem,"{φ, n, M, f}",Life sciences
1214,M. Riesz extension theorem,"{x, K, ϕ, F}",Fields of mathematics
1215,M2-brane,"{θ, c, r, M, G}",Life sciences
1216,MICEX 10,"{i, P, k}",Professional studies
1217,MacMahon Master theorem,"{x, S, r, R}",Fields of mathematics
1218,Macaulay brackets,{x},Fields of mathematics
1219,Macaulay's method,"{y, ln}",Professional studies
1220,Maclaurin's inequality,"{S, n}",Fields of mathematics
1221,Macrodiversity,"{y, x, H, n}",Subfields of physics
1222,Madelung equations,"{∇, ∂, u, t, ρ}",Fields of mathematics
1223,Magic cube,"{M, n}",Applied sciences
1224,Magnetic anisotropy,"{E, K, θ, V, γ, sin}",Subfields of physics
1225,Magnetic dipole,"{A, m, r, μ, π}",Subfields of physics
1226,Magnetoelectric effect,"{i, H, k, j, P, α, β}",Subfields of physics
1227,Magnetorheological fluid,"{d, H, τ, v, y, z, η}",Professional studies
1228,Mahler polynomial,"{e, g, n, t, exp, x}",Fields of mathematics
1229,Maintenance dose,"{p, C, L, F}",Pharmaceutical sciences
1230,Malliavin calculus,"{d, f, λ, ∞, x, ε}",Fields of mathematics
1231,Malthusian growth model,"{P, r, e, t}",Life sciences
1232,Mandel Q Parameter,"{Q, Δ, g, n}",
1233,Mandelbrot set,"{c, z, n}",Articles containing video clips
1234,Mandelstam variables,"{p, s}",Subfields of physics
1235,Manning formula,"{h, k, n, S, R, V}",Physical sciences
1236,Mann–Whitney U,"{U, z, m, σ}",
1237,Marconi's law,"{H, c, D}",Life sciences
1238,Margaria-Kalamen power test,"{h, m, t, g, P}",Applied sciences
1239,Marginal product,"{Y, Δ, L}",Applied sciences
1240,Marginal propensity to save,"{P, S, M}",Applied sciences
1241,Marginal revenue productivity theory of wages,"{P, R, M}",Applied sciences
1242,Market concentration,"{f, Q, P, S, R, x}",Branches of philosophy
1243,Markov additive process,"{J, E, g, f, F, s, t, X}",Applied sciences
1244,Markov process,"{A, F, P, s, t, X}",
1245,Markovian arrival processes,"{y, x, F, ′, α}",
1246,Markup rule,"{Q, P, C, π}",Social sciences terminology
1247,Martingale central limit theorem,"{x, d, τ, Φ, π, P, R, u, ν, exp, ∞, X}",Fields of mathematics
1248,Martingale difference sequence,"{a, E, d, n, t, ∞, X}",Applied sciences
1249,Mason's invariant,"{d, H, n, s, ∞, Z}",Applied sciences
1250,Mason–Stothers theorem,"{a, c, b, rad, deg}",Fields of mathematics
1251,Mason–Weaver equation,"{a, C, i, h, o, P, T, Δ}",Applied sciences
1252,Mass action law,"{i, p, n}",
1253,Mass attenuation coefficient,"{m, μ, ρ}",Physical sciences
1254,Massieu function,"{Y, Ψ, r, i, X}",Subfields of physics
1255,Master stability of the synchronized state,"{A, g, f, i, j, σ, N, x}",
1256,Material failure theory,"{H, N}",Physical sciences
1257,Material implication,"{Q, P, ¬}",
1258,Material requirements planning,"{i, x, J}",Professional studies
1259,Matsumoto zeta function,"{A, p, ϕ, s}",Fields of mathematics
1260,Matérn covariance function,"{h, r, V, π}",Applied sciences
1261,Mauchly's sphericity test,"{H, σ}",Auxiliary sciences of history
1262,Maximum a posteriori estimation,"{θ, x, f}",Auxiliary sciences of history
1263,Maximum entropy spectral estimation,"{α, k, R, x}",Fields of mathematics
1264,Maximum length sequence,"{ξ, F, σ, μ, exp, x}",Fields of mathematics
1265,Maximum likelihood sequence estimation,"{p, r, L, x}",Applied sciences
1266,Maximum-margin hyperplane,"{y, x, c, v}",
1267,Maxwell's equations,"{B, E, J, ∂, ρ, ∇, μ, t, ε}",Subfields of physics
1268,Maxwell–Boltzmann distribution,"{e, f, k, m, π, T, v}",Life sciences
1269,Maxwell–Jüttner distribution,"{i, P, F, V}",Environmental studies
1270,Mazur–Ulam theorem,"{f, W, V}",Fields of mathematics
