,formula_label,symbol_set,subject
746,Friedrichs extension,"{⟨, ∈, dom, ∣, ≥, T, ξ, ⁡, ⟩}",Life sciences
748,Frobenius pseudoprime,"{≡, ), (, k, ,, n, Q, P, U, −, mod}",Applied sciences
750,Frobenius–Schur indicator,"{∈, ∫, d, g, χ, (, G, ), μ}",Life sciences
751,Frontogenesis,"{A, a, b, ), h, q, T, (, −, =}",Physical sciences
752,Froude–Krylov force,"{=, c, Λ, m, κ}",Physical sciences
753,Fuchsian model,"{A, →, ), (, =, L, ρ, P, S, R, {, Γ, }}",Life sciences
754,Fuel fraction,"{=, Δ, ζ, W}",Professional studies
755,Fugacity,"{P, =, φ, f}",Physical sciences
756,Fuhrmann circle,"{a, c, b, +, R, −}",Life sciences
757,Fujiki class C,"{C, d, ω, i, M, m, ∫, >}",Life sciences
758,Functional integration,"{a, ∫, b, d, f, ), (, J, ], L, ,, ′, x, [, =}",Life sciences
759,Fundamental domain,"{∈, ), H, =, ,, <, U, (, {, z, }, |, >}",Life sciences
760,Fundamental increment lemma,"{a, lim, ′, f, ), h, +, →, (, −, =}",Life sciences
761,Future value,"{F, ), (, +, P, r, t, V, =}",Life sciences
762,Fσ set,"{A, ∈, ⋃, ), =, ∣, ,, Q, r, (, y, R, }, {}",Life sciences
763,G Scorpii,"{a, λ, e, d, F, i, (, +, m, l, π, ), s, r, μ, T, ⁡, ϕ, −, =, tan}",Applied sciences
764,G.711,"{⋅, e, min, ), (, +, m, ,, s, }, max, y, {, −, =}",Applied sciences
765,GC-content,"{A, C, T, G, +}",Life sciences
768,Galilei number,"{a, G, g, L, ν, =}",Life sciences
769,Gall–Peters projection,"{A, Pr, ⋂, ∏, i, (, n, ), =}",Society
770,Galois connection,"{∩, ⊆, B, G, g, ∈, ∀, =, ∅, ,, o, r, x, X, ;, }, {}",Life sciences
771,Galois module,"{C, K, →, r, W, ~}",Life sciences
772,Galton–Watson process,"{), (, +, j, n, ξ, ∑, X, =}",Humanities
773,Gambler's ruin,"{P, +, =, n}",Life sciences
774,Gamma diversity,"{α, β, γ, =, ×}",Life sciences
775,Gas-phase ion chemistry,"{A, B, e, +, ∙, →, −, ∗}",Applied sciences
777,Gauss's law for magnetism,"{A, =, B, ×, ∇}",Physical sciences
778,Gaussian function,"{a, c, b, e, f, ), (, x, −, =}",Life sciences
779,Gaussian orbital,"{), (, m, l, Φ, ,, θ, R, Y, ϕ, r, =}",Physical sciences
780,Gaussian process,"{), (, k, ,, t, …, X, =}",Applied sciences
781,Gaussian q-distribution,"{c, −, E, ), (, ≤, ], ,, <, q, s, ν, None, x, [, ., =, {, >}",Life sciences
782,Gaussian quadrature,"{∫, d, f, i, (, n, ), w, ∑, x, −, =}",Physical sciences
783,Gaussian year,"{k, =, π}",Society
784,Gauss–Jacobi quadrature,"{∫, d, f, ), (, +, α, x, β, −}",Physical sciences
785,Gauss–Kuzmin distribution,"{log, ), (, k, p, ⁡, −, =, +}",Life sciences
786,Gauss–Laguerre quadrature,"{∫, e, d, f, ), (, +, ∞, x, −}",Physical sciences
787,Gay-Lussac's law,"{P, k, =, ∝, T}",Life sciences
788,Gecko feet,"{A, D, F, π, −, =}",Life sciences
789,Gelfand–Naimark theorem,"{f, ), (, ], π, ⨁, ξ, x, [, =}",Life sciences
790,Gelfond's constant,"{e, i, (, π, ), −, =}",Life sciences
791,Gell-Mann matrices,"{g, f, i, ], k, j, ,, [, =}",Life sciences
792,Gell-Mann–Okubo mass formula,"{a, ], I, (, +, M, ), S, [, −, =}",Physical sciences
793,Gene expression programming,"{a, c, b, d, ), (, +, −}",Life sciences
794,General Leibniz rule,"{⋅, C, g, f, ), (, k, n, ∑, −, =}",Life sciences
795,General linear methods,"{′, f, ), (, ,, t, y, =}",Life sciences
796,General linear model,"{B, +, U, Y, X, =}",Auxiliary sciences of history
797,Generalization error,"{x, ∫, ), d, f, I, ], =, ,, ρ, n, Y, (, V, y, X, [, ×}",Applied sciences
798,Generalized Clifford algebra,"{=, k, j, e, ω}",Life sciences
799,Generalized Fourier series,"{a, b, F, φ, ], ,, Φ, n, →, ∞, }, {, =, [}",Life sciences
800,Generalized Verma module,"{g, ), (, M, ⊗, p, U, V, =}",Life sciences
801,Generalized continued fraction,"{a, b, +, ⋱, x, =}",Life sciences
802,Generalized eigenvector,"{A, I, (, m, ), λ, x, −, =}",Life sciences
803,Generalized estimating equation,"{∂, ), i, =, k, j, N, ∑, μ, (, V, Y, U, β, −, }, {}",Applied sciences
804,Generalized flag variety,"{⊂, }, k, ⋯, V, {, =}",Life sciences
805,Generalized hypergeometric function,"{a, ⩾, b, ⋯, F, ), (, +, …, ,, n, q, p, !, ∞, ∑, β, z, =, ;}",Life sciences
806,Generalized quadrangle,"{), H, ,, q, s, t, (, =}",Life sciences
807,Generalized second-price auction,"{α, k, ⋯, ≥}",Professional studies
808,Generalized symmetric group,"{C, −, d, G, ), (, ∫, ,, ., S, ′, ∞, y, x, z, =}",Life sciences
809,Genetic algebra,"{B, e, K, ⊕, U, Z, =}",Life sciences
810,Genetic load,"{), max, ¯, L, w, (, −, =}",Life sciences
811,Genotype frequency,"{ω, χ, M, /, γ, =}",Life sciences
813,Geometric feature learning,"{a, F, ), (, ∃, x}",Applied sciences
814,Geometric mean theorem,"{q, h, =, p}",Life sciences
815,Geometric phase,"{⟨, ⟩, C, i, (, =, ,, ∇, n, ), R, t, [, γ, ], |}",Physical sciences
816,Geometric separator,"{), (, ≤, j, /, n, intersect, ⁡, ∑, −, =, |}",Applied sciences
817,Geometrical frustration,"{⋅, G, I, H, k, ,, S, μ, ν, ∑, −, =}",Physical sciences
819,Gibbs free energy,"{G, ), (, +, ,, p, S, U, T, V, −, =}",Environmental studies
820,Gibbs isotherm,"{Γ, d, +, μ, −, γ, =}",Physical sciences
822,Gijswijt's sequence,"{a, lim, →, i, (, n, ), ∞, ∑, =, <}",Life sciences
823,Gilbert–Varshamov bound,"{A, d, ), (, ,, n, q}",Life sciences
824,Gilbreath's conjecture,"{d, +, n, p, −, =}",Life sciences
825,Gimel function,"{c, ↦, f, ), (, κ, ℷ, :}",Life sciences
826,Gingerbreadman map,"{d, f, i, +, o, =}",Life sciences
831,Glove problem,"{min, ), (, +, M, ,, /, N, ⌉, ⌈}",Life sciences
832,Goertzel algorithm,"{log, ), (, ≤, M, N, ⁡}",Applied sciences
833,Goldbach's conjecture,"{≈, ln, (, m, /, n, ), ⁡, ∑, −, =}",Life sciences
834,Goldstine theorem,"{C, ↦, ), φ, ⋯, ,, Φ, n, →, (, X, None, x, {}",Life sciences
835,Golomb sequence,"{a, φ, −, =, n}",Life sciences
836,Goodstein's theorem,"{a, k, ⋯, m, ,, n, −, =, +}",Life sciences
837,Goormaghtigh conjecture,"{m, n, y, x, −, =}",Life sciences
838,Gottlieb polynomials,"{e, F, ), (, k, ,, n, λ, ℓ, ∑, x, ;, −, =}",Life sciences
839,Gradient network,"{⟨, ⟩, ), h, J, N, R, (, −, =}",Physical sciences
840,Graham's law,"{=, M}",Life sciences
841,Gramian matrix,"{∫, j, d, G, f, i, (, τ, ), t, ℓ, =, ¯}",Life sciences
842,Grandi's series,"{), (, n, ∞, ∑, −, =}",Life sciences
843,Granger causality,"{ln, (, m, ), r, ⁡, −, =}",Life sciences
844,Graph dynamical system,"{F, i, (, +, f, ], ,, n, ), …, x, [, −, =}",Life sciences
845,Grassmann integral,"{a, ∫, b, d, g, f, ), =, +, θ, (, [, ]}",Life sciences
846,Greeks,"{d, ln, (, K, τ, σ, /, q, ), S, r, ⁡, −, =, +}",Humanities
847,Green's matrix,"{), (, …, ,, n, t, =, x, X, [, ]}",Life sciences
848,Griffiths group,"{a, g, ), h, k, ⁡, m, l, o, Griff, (, X, Z, =, /}",Life sciences
849,Griffiths inequality,"{A, ), H, J, σ, (, ∑, −, =}",Life sciences
850,Grigorchuk group,"{log, ≈, +, ,, s, ⁡, −, =, η}",Life sciences
851,Gross–Koblitz formula,"{), ∏, f, i, (, ≤, τ, /, π, q, p, s, r, −, Γ, =, <}",Life sciences
852,Grothendieck inequality,"{a, i, ≤, j, ,, s, t, ∑, |}",Life sciences
853,Grothendieck topology,"{A, ∈, ∏, F, ), (, ,, →, X, α, β, ×, ⟶}",Life sciences
854,Grothendieck universe,"{∈, c, ), (, U, sup, x, =, |}",Life sciences
856,Grothendieck–Ogg–Shafarevich formula,"{∈, C, g, F, χ, (, +, ,, n, ), S, w, x, ∑, X, −, =}",Life sciences
857,Group code,"{cos, i, θ, I, ⁡, =}",Life sciences
859,Grötzsch graph,"{), x, +, −, (}",Life sciences
860,Grünwald–Letnikov derivative,"{lim, ′, f, ), (, +, →, h, x, −, =}",Life sciences
861,Gudermannian function,"{), (, k, ,, t, …, X, =}",Life sciences
862,Gumbel distribution,"{e, F, ), (, ,, /, μ, x, β, −, =, ;}",Applied sciences
863,Göbel's sequence,"{+, ⋯, ,, n, x, −, =}",Life sciences
864,Gödel numbering,"{⋅, c, e, ), (, ⋯, ,, n, p, …, x, =}",Life sciences
865,Gδ set,"{A, ∈, ⋂, ), }, ∣, ,, Q, r, (, y, R, =, {}",Life sciences
866,HOMFLY polynomial,"{), (, k, ,, o, n, P, u, t, =}",Life sciences
867,Hacoversine,"{), (, θ, ⁡, hacoversin, −, =, sin}",Life sciences
868,Hadamard matrix,"{I, H, =, T, n}",Life sciences
869,Hadamard's dynamical system,"{), g, i, H, j, m, ,, q, p, (, =}",Life sciences
870,Hadjicostas's formula,"{∫, −, d, ), (, +, s, ⁡, y, x, Γ, =, ζ, log}",Life sciences
872,Hadwiger–Finsler inequality,"{a, c, b, ), (, +, ≥, T, −}",Life sciences
873,Hagen number,"{d, g, H, L, ρ, p, ν, x, −, =}",Life sciences
874,Hahn polynomials,"{−, F, ), (, +, ,, N, Q, x, α, β, n, =, ;}",Life sciences
875,Hall algebra,"{∈, g, ), (, ,, q, λ, μ, ν, [, Z, ]}",Life sciences
876,Hall effect,"{B, E, F, ), =, +, ], q, (, v, [, ×}",Physical sciences
877,Halting problem,"{X, R, ×, /, →}",Life sciences
879,Hamiltonian matrix,"{A, P, ), (, +, ⋯, n, p, ∑, x, =}",Life sciences
880,Hamilton–Jacobi equation,"{+, n, Y, X, Z, =}",Physical sciences
881,Hammer projection,"{a, e, ), φ, l, ,, λ, (, x, =}",Society
882,Hamming scheme,"{′, e, g, ), (, +, ↔, O, ∙, V, x}",Life sciences
883,Hardy's inequality,"{a, ), (, +, ⋯, n, p, ∞, ∑, −, =, <}",Life sciences
884,Hardy–Littlewood circle method,"{a, f, ), (, n, ∑, z, =}",Life sciences
885,Harish-Chandra's c-function,"{c, ), (, s, λ, =}",Life sciences
886,Harmonic coordinate condition,"{γ, g, ), (, σ, ,, x, −, α, β, Γ, =, ;}",Life sciences
887,Harmonious set,"{), (, =, u, v, −, ×}",Life sciences
888,Hartmann number,"{a, B, H, σ, L, μ, =}",Physical sciences
889,Hasegawa–Mima equation,"{→, ), ∀, P, t, (, y, x}",Life sciences
890,Hasse's theorem on elliptic curves,"{−, ), (, ≤, |, q, N, +}",Life sciences
891,Hasse–Weil zeta function,"{), (, ,, Q, s, V, Z}",Life sciences
892,Hat operator,"{y, H, =, ^}",Life sciences
893,Hauptvermutung,"{∈, ), H, M, /, κ, (, ;, Z}",Life sciences
894,Hausdorff density,"{a, B, ), (, ,, Θ, →, s, r, μ, =, ∗, lim sup}",Life sciences
895,Hausdorff moment problem,"{∫, d, ), (, m, n, μ, x, =}",Society
898,Hayashi track,"{=, ⋆, j, σ, T}",Physical sciences
899,Heaps' law,"{), (, K, n, R, V, β, =}",Life sciences
900,Heat generation in integrated circuits,"{C, g, ), (, +, ∂, ∇, t, κ, ρ, =, T}",Physical sciences
901,Heat index,"{c, I, H, +, R, T, =}",Physical sciences
902,Heat kernel signature,"{Ψ, E, ), (, ℏ, =, m, ∇, r, V, [, −, ], +}",Life sciences
903,Heat-affected zone,"{c, ), E, f, I, (, =, n, Q, i, S, V, y, e, ×}",Environmental studies
904,Heath–Jarrow–Morton framework,"{∫, e, d, f, ), (, ,, P, s, t, −, =, T}",Life sciences
905,Heaviside cover-up method,"{a, A, C, B, ), (, +, m, c, n, b, ℓ, x, −, =}",Life sciences
906,Heavy Rydberg system,"{μ, +, =, m}",Physical sciences
907,Heavy traffic approximation,"{E, ), (, n, t, X, −, =, ^}",Applied sciences
908,Heegaard splitting,"{∪, f, M, ., W, V, =}",Life sciences
909,Heilbronn triangle problem,"{c, f, ), (, ≤, n, Δ}",Life sciences
910,Heine–Borel theorem,"{C, ∪, }, K, U, T, {, =}",Life sciences
911,Heinz mean,"{A, B, ), H, +, ,, (, x, −, =}",Life sciences
913,Helly–Bray theorem,"{∫, d, g, F, ), (, n, →, R, ∞, x}",Life sciences
915,Helmholtz equation,"{A, k, =, +, ∇}",Life sciences
918,Herbrand–Ribet theorem,"{a, ω, ), (, σ, n, p, ∑, ϵ, −, =}",Life sciences
919,Hereditarily finite set,"{ω, ⋃, k, V, ∞, =}",Life sciences
920,Herglotz–Zagier function,"{′, log, F, ), (, ⁡, }, n, ∑, ∞, −, x, {, Γ, =}",Life sciences
921,Hermite's cotangent identity,"{a, A, cot, ∏, ), (, k, j, ,, ≠, n, ⁡, −, =, ≤}",Life sciences
922,Hermite's identity,"{k, n, ⌋, ⌊, ∑, x, −, =, +}",Life sciences
923,Hermite–Minkowski theorem,"{!, d, ), (, K, ≥, /, π, n, |}",Life sciences
924,Hermitian matrix,"{A, ¯, =}",Life sciences
925,Heron's formula,"{A, a, c, b, ), (, +, −, =}",Life sciences
927,Herschel–Bulkley fluid,"{+, τ, n, ˙, γ, =, k}",Life sciences
928,Hesse normal form,"{⟨, ⟩, d, ∈, H, ∣, ,, n, R, v, }, x, {, =}",Life sciences
929,Hessenberg matrix,"{), h, ⋮, ⋯, n, ⋱, (, −}",Life sciences
930,Hessian form of an elliptic curve,"{Y, X, +, =, a}",Life sciences
931,Heston model,"{), (, ≤, p, x, <}",Life sciences
932,Heterodyne detection,"{cos, E, ω, g, i, φ, +, ), s, t, ⁡, (}",Applied sciences
934,Hicks-neutral technical change,"{A, F, ), (, K, L, ,, Y, =, ∗}",Professional studies
935,Hierarchical generalized linear model,"{d, /, Q, S, r, T, =}",Applied sciences
936,Hierarchical network model,"{c, −, ), (, k, P, ∼, γ}",Physical sciences
937,High energy nuclear physics,"{−, ), (, p, T, γ, =}",Physical sciences
938,High-frequency ventilation,"{E, P, I, Δ, p, −, =}",Life sciences
939,High-valent iron,"{), e, F, I, h, +, L, O, n, P, (, ⟶}",Physical sciences
940,Highly abundant number,"{), m, σ, n, (, >}",Life sciences
941,Highly structured ring spectrum,"{→, Ω, ×, X}",Life sciences
942,Hilbert's Nullstellensatz,"{), (, J, =}",Life sciences
943,Hilbert's irreducibility theorem,"{f, ), (, ,, n, s, r, …, Y, X}",Society
944,Hilbert's seventh problem,"{Q, ∈, ?}",Society
946,Hilbert–Burch theorem,"{I, m, /, n, →, R}",Life sciences
947,Hilbert–Schmidt integral operator,"{Ω, ∫, d, ), (, k, ,, |, ∞, y, x, <}",Life sciences
948,Hilbert–Schmidt theorem,"{i, lim, +, →, λ, ∞, =}",Life sciences
949,Hill differential equation,"{d, f, ), (, +, t, y, =}",Life sciences
950,Himmelblau's function,"{f, ), (, +, ,, y, x, −, =}",Life sciences
951,Hirzebruch surface,"{), (, +, O, n, −}",Life sciences
952,Histogram equalization,"{,, ), i, (, ≤, L, n, p, x, =, <}",Applied sciences
954,History of quaternions,"{i, k, j, =, −}",Life sciences
955,Hit-or-miss transform,"{A, ∩, C, B, D, ), (, c, ⊖, =, ⊙}",Applied sciences
956,Hitchin–Thorpe inequality,"{≥, χ, (, τ, M, ), |}",Life sciences
957,Hoeffding's inequality,"{), P, i, H, k, n, p, (, ∑, −, =, ≤}",Life sciences
958,Hollomon–Jaffe parameter,"{⋅, C, log, ), H, +, ⁡, p, T, (, =, t}",Life sciences
959,Holonomy,"{∈, E, G, ), =, Hol, L, ∇, ., P, (, ⁡, x, {, γ, }, ∣}",Life sciences
960,Holor,"{′, i, ∂, σ, v, x, =}",Life sciences
961,Holt graph,"{), x, +, −, (}",Life sciences
962,Homogeneous differential equation,"{″, ′, d, F, ), (, +, M, ,, N, …, y, x, =}",Life sciences
963,Homological integration,"{⟨, α, ,, T, ⟩}",Physical sciences
964,Homothetic center,"{), (, +, ,, r, y, x, =}",Life sciences
965,Hong–Ou–Mandel effect,"{a, ⟩, b, ,, †, =, |, ^}",Applied sciences
966,Hooke's atom,"{), H, k, ∇, r, (, +, −, =, |, ^}",Physical sciences
967,Hooke's law,"{X, k, =, F}",Physical sciences
968,Hoover index,"{:, →, B, E, π}",Life sciences
970,Hotelling's rule,"{′, ), (, =, P, t, δ}",Applied sciences
971,Hough transform,"{cos, +, θ, r, ⁡, y, x, =, sin}",Applied sciences
972,Householder's method,"{a, ⋅, e, d, f, K, ≤, m, ,, o, n, s, r, |, x, −, +, >}",Life sciences
973,How Long Is the Coast of Britain? Statistical Self-Similarity and Fractional Dimension,"{D, G, ), (, M, L, −, =}",Categories by parameter
974,Hubbert linearization,"{d, ), (, K, Q, P, R, U, t, −, =}",Society
975,Hubble–Reynolds law,"{I, H, +, /, ), R, (, =}",Physical sciences
976,Humbert polynomials,"{a, !, e, ), (, +, n, t, exp, ⁡, ∑, x, β, −, =}",Life sciences
977,Hume-Rothery rules,"{e, ), (, ≤, =, l, o, n, s, r, u, t, v, %, −, ×}",Physical sciences
978,Hurwitz polynomial,"{x, +}",Life sciences
979,Hydrodynamical helicity,"{⋅, ∫, d, ×, ), H, ∇, u, (, V, =}",Physical sciences
980,Hydrogel encapsulation of quantum dots,"{D, ×, ), (, +, λ, −, =}",Physical sciences
981,Hydrostatic stress,"{g, i, h, σ, ρ, n, ∑, =}",Physical sciences
982,Hyperbolic growth,"{c, ), (, t, x, −, =}",Life sciences
983,Hyperbolic quaternion,"{a, ∈, c, b, d, i, k, j, ,, q, R, =, +}",Life sciences
984,Hyperbolic set,"{E, M, ⊕, s, Λ, u, T, =}",Life sciences
985,Hyperdeterminant,"{a, c, b, f, +, ., =}",Life sciences
986,Hypoexponential distribution,"{⋅, B, =, μ, H, −, Δ}",Life sciences
987,Hölder's inequality,"{g, ‖, ≤, f, q, p}",Life sciences
988,IP (complexity),"{Pr, ∈, ≥, V, L, P, ⇒, w, ↔, [, ]}",Life sciences
989,Ideal chain,"{″, b, e, f, i, h, m, l, o, n, s, r, u, t, w, N, =, ,, L}",Physical sciences
990,Idealized greenhouse model,"{b, g, f, ), (, τ, =}",Physical sciences
991,Idealizer,"{∈, ⊆, I, =, ∣, s, ), S, T, (, {, }}",Life sciences
992,Idempotent measure,"{A, ∫, d, ), (, μ, ν, X, x, −, =, ∗}",Life sciences
993,Image moment,"{∫, d, f, ), (, M, ,, q, p, ∞, y, x, −, =}",Applied sciences
994,Imaging spectroscopy,"{A, x, =, ∗, p}",Physical sciences
995,Immersed boundary method,"{k, M, ⊕, n}",Life sciences
996,Impact parameter,"{∫, b, d, i, (, ∞, m, /, π, θ, ), r, U, v, −, n, =}",Physical sciences
997,Imperiali quota,{+},Life sciences
998,Implicational propositional calculus,"{log, ), (, ≤, p, ⁡, ∑, x, =, ϑ}",Life sciences
999,Implicit curve,"{F, ), (, ,, y, x, =}",Applied sciences
1000,Incidence structure,"{B, ), I, (, ,, p, =}",Life sciences
1002,Indeterminate form,"{c, g, f, ), lim, ., →, (, x}",Life sciences
1003,Index of dispersion,"{μ, =, σ, D}",Life sciences
1004,Inertance,"{A, ⋅, I, ρ, ℓ, =}",Environmental studies
1005,Information gain in decision trees,"{a, ∈, G, ⋅, I, H, l, ,, ), s, }, T, v, (, x, {, −, =, |, ∑}",Applied sciences
1007,Inhomogeneous electromagnetic wave equation,"{=, c, μ, ε}",Physical sciences
1008,Initial condition,"{a, k, ⋯, t, x, −, =, +}",Life sciences
1009,Inner model,"{⟨, ∈, =, L, ⟩}",Life sciences
1010,Instrumental magnitude,"{log, f, ), (, m, ⁡, −, =}",Physical sciences
1011,Integer programming,"{A, ), g, i, (, σ, n, ln, μ, exp, ⁡, ∑, ., =}",Life sciences
1012,Integrating ADC,"{a, C, i, +, l, o, n, R, u, t, V, −, =}",Physical sciences
1013,Integration along fibers,"{∫, b, ), (, k, m, ,, π, w, …, α, β, −, =, ∗}",Life sciences
1014,Integration by reduction formulae,"{∫, f, I, (, ,, n, ), x, =}",Physical sciences
1015,Intermediate Jacobian,"{C, ), H, ⋯, M, ,, n, ⊗, ⊕, R, (, =}",Life sciences
1017,Introduction to entropy,"{q, =, S, δ, T}",Life sciences
1018,Invariance mechanics,"{′, R, x, −, =, |}",Physical sciences
1019,Inverse gas chromatography,"{F, ), (, j, m, o, ∘, R, t, V, −, =, T}",Life sciences
1020,Inverse-gamma distribution,"{∫, ¯, d, ψ, ), (, +, ∂, m, /, S, x, =}",Auxiliary sciences of history
1021,Ising model,"{⟨, ⟩, j, i, h, J, σ, ), μ, (, H, ∑, −, =}",Life sciences
1022,Iso-damping,"{c, G, ω, ), ∠, j, s, (, =, |, d}",Applied sciences
1023,Isotypic component,"{i, ⊕, N, =, V}",Life sciences
1024,Isserlis' theorem,"{A, ≏, C, B, +}",Life sciences
1026,J-homomorphism,"{), (, +, J, O, π, q, →, S, r, :}",Life sciences
1027,J1 J2 model,"{⟨, ⋅, j, ⟩, i, H, +, J, →, S, ∑, =, ^}",Physical sciences
1028,Jackson network,"{j, ), i, (, +, J, ,, ., p, λ, …, ∑, α, =}",Applied sciences
1029,Jackson q-Bessel function,"{), (, +, J, ,, /, q, ν, ∞, x, ϕ, −, =, ;}",Life sciences
1030,Jacobi elliptic functions,"{∫, d, φ, m, θ, u, ⁡, −, =, sin}",Life sciences
1031,Jacobi identity,"{a, ∈, c, b, ), ∀, +, =, ,, S, (, ×}",Life sciences
1032,Jacobi triple product,"{∈, ∏, i, Σ, π, →, R, N}",Life sciences
1033,Jacobian conjecture,"{b, ], ,, †, [, −, =, ^}",Life sciences
1034,Jacobian ideal,"{⟨, ⟩, ∂, f, J, ,, n, …, x, =}",Life sciences
1036,Jacobsthal number,"{−, +, J, =, n}",Life sciences
1037,Janko group J1,"{d, ), (, +, ,, y, x, z, =}",Life sciences
1038,Jefimenko's equations,"{∂, ′, ϵ, −, ×, ∫, ), (, +, ,, ρ, π, =, B, E, J, μ, [, ], c, d, r, t, |}",Life sciences
1039,Jensen's inequality,"{f, ), (, +, t, x, −, ≤}",Life sciences
1040,Jet group,"{), ×, k, ⋯, m, S, R, W, (, =, ∗}",Life sciences
1041,Jiles-Atherton model,"{α, +, =, M, H}",Physical sciences
1044,Joint spectral radius,"{B, ), (, L, W, Y, X, −, =}",Applied sciences
1045,Jordan curve theorem,"{None, −, ), H, k, ,, n, q, ., (, Y, {, Z, =, ~}",Life sciences
1046,Jordan's lemma,"{∈, C, e, i, }, ∣, ], ,, π, θ, R, [, =, {}",Life sciences
1047,Jurin's law,"{cos, g, h, ρ, θ, r, ⁡, γ, =}",Physical sciences
1048,Just-noticeable difference,"{I, =, k, Δ}",Life sciences
1049,Jørgensen's inequality,"{A, B, ), (, +, ≥, −, |}",Life sciences
1050,K-convex function,"{b, g, ), (, K, z, u, +, [, −, ], ≤}",Life sciences
1051,K-function,"{∫, Γ, d, ln, (, K, ], /, π, ), t, exp, ⁡, −, [, z, =, +}",Life sciences
1052,Kalai–Smorodinsky bargaining solution,"{B, e, d, F, ), (, s, μ, t, −, =}",Humanities
1053,Kalman–Yakubovich–Popov lemma,"{A, +, Q, P, T, −, =}",Life sciences
1055,Kaplansky density theorem,"{a, f, ), lim, (, α, =}",Life sciences
1056,Kaplan–Yorke conjecture,"{i, j, λ, ∑, =, >}",Life sciences
1057,Karhunen–Loève theorem,"{e, ), (, k, t, ∞, ∑, X, Z, =}",Life sciences
1058,Karmarkar's algorithm,"{⋅, log, ), (, L, O, n, ⁡}",Life sciences
1063,Khinchin integral,"{a, ∫, d, g, f, ), (, t, x, =}",Physical sciences
1064,Khmaladze transformation,"{F, ), (, ], n, v, x, [, −, =}",Life sciences
1065,Killing spinor,"{⋅, ψ, ∇, λ, X, =}",Life sciences
1066,Kinetic Monte Carlo,"{∫, ′, d, ln, (, k, =, /, Q, ), u, t, ⁡, Δ}",Physical sciences
1067,Kirchhoff's diffraction formula,"{∫, −, e, d, ), i, (, k, ∂, s, n, P, S, U, =, [, π, ]}",Life sciences
1068,Kirwan map,"{G, →, ), H, M, /, p, (, ∗}",Life sciences
1069,Klecka's tau,"{c, −, i, τ, o, n, p, r, T, ∑, N, =}",Auxiliary sciences of history
1070,Klein cubic threefold,"{+, W, V, Y, X, Z, =}",Life sciences
1071,Klein quartic,"{y, x, +, z, =}",Life sciences
1072,Klein–Gordon equation,"{c, ψ, ℏ, ∂, m, ∇, t, −, =, +}",Life sciences
1073,Kobayashi metric,"{d, f, ), (, ≤, ,, ρ, y, x}",Life sciences
1074,Koide formula,"{e, ≈, ), (, +, τ, m, Q, μ, =}",Life sciences
1075,Kolchuga passive sensor,"{d, ), h, k, m, r, t, (, =, +}",Professional studies
1079,Kosmann lift,"{q, E, ⊂, ×, ∈, i, =, ∣, τ, ,, Q, ), T, v, (, {, }, ∗}",Life sciences
1080,Koszul algebra,"{b, ), i, (, k, ⋯, →, R, −}",Life sciences
1081,Koszul duality,"{A, ), (, /, R, T, V, =}",Life sciences
1082,Kronecker limit formula,"{−, E, log, ), (, +, τ, ,, O, π, s, ⁡, y, γ, =, |, η}",Life sciences
1083,Kronecker's lemma,"{m, s, ∞, ∑, x, =}",Life sciences
1084,Krylov–Bogolyubov theorem,"{A, F, ), (, μ, −, =}",Life sciences
1085,Kullback–Leibler divergence,"{), log, i, (, K, ∥, L, Q, P, ⁡, ∑, =, D}",Life sciences
1086,Kuratowski embedding,"{C, b, ), (, Φ, →, X}",Life sciences
1087,Kynea number,"{+, −, n}",Life sciences
1088,L-infinity,"{C, {, f, ), (, ≤, ≥, ∥, ≡, ∞, x, inf, }, |}",Life sciences
1089,L-notation,"{c, e, ln, ], +, L, o, n, ), (, ⁡, α, [, −, =, ,}",Life sciences
1090,L-reduction,"{A, B, f, ), (, ≤, O, P, T, α, x}",Applied sciences
1091,LPBoost,"{c, f, ), (, k, n, r, z, =, +}",Applied sciences
1092,LSZ reduction formula,"{⟨, ⟩, f, i, }, o, n, q, p, S, u, t, {, =, |}",Physical sciences
1093,LU decomposition,"{A, =, U, L}",Life sciences
1094,Lagged Fibonacci generator,"{a, b, i, (, k, m, ., ), X, −, =, +, mod}",Life sciences
1095,Lagrange multiplier,"{⋅, g, f, ), (, L, ∇, ,, λ, y, x, −, =}",Life sciences
1097,Lagrangian and Eulerian specification of the flow field,"{), (, ,, u, t, x}",Professional studies
1098,Laguerre form,"{a, D, ), (, +, L, w, =}",Life sciences
1099,Lahun Mathematical Papyri,"{d, ), h, +, V, /, (, =}",Society
1100,Lamb waves,"{A, −, e, ω, f, i, (, k, ), t, ξ, x, z, =}",Society
1101,Lamplighter group,"{−, ⨁, Z, /, ∞}",Life sciences
1103,Landau pole,"{g, ln, (, +, m, /, ), Λ, ⁡, β, =}",Physical sciences
1104,Landau prime ideal theorem,"{′, ), (, +, r, X}",Life sciences
1105,Landau theory,"{a, Ψ, F, H, +, s, r, =}",Physical sciences
1106,Landau–Lifshitz–Gilbert equation,"{M, s, λ, α, γ, =}",Life sciences
1107,Landé g-factor,"{g, ), (, +, J, L, S, −, =}",Physical sciences
1108,Langer correction,"{E, d, ), (, ℏ, =, m, r, V, [, R, −, ], +}",Physical sciences
1109,Langevin dynamics,"{B, ), ¨, k, M, ∇, R, U, t, (, −, X, ˙, γ, =, +, T}",Physical sciences
